Designator,Mid X,Mid Y,Rotation,Layer
BT1,30.4,0.0,180.0,bottom
C1,43.08,-12.265,270.0,top
C10,27.051,-3.81,0.0,top
C11,15.875,-8.255,270.0,top
C12,20.05,-8.255,270.0,top
C13,11.63,-2.835,0.0,top
C14,24.13,-2.975,0.0,top
C15,24.13,-1.905,0.0,top
C16,13.49,-2.835,180.0,top
C17,13.4875,-0.045,180.0,top
C18,13.4875,0.885,180.0,top
C19,15.875,1.905,90.0,top
C2,36.73,-12.265,270.0,top
C20,20.05,1.905,90.0,top
C3,64.385,9.0365,180.0,top
C4,60.582,13.2815,180.0,top
C5,60.582,11.3765,180.0,top
C6,69.342,8.89,180.0,top
C7,2.105,7.82,180.0,top
C8,2.105,9.725,180.0,top
C9,27.051,-8.89,180.0,top
D1,24.765,1.27,90.0,top
D2,2.105,5.915,180.0,top
J1,59.5,0.0,180.0,top
J2,4.8,0.0,270.0,top
JP1,52.07,-13.87,180.0,bottom
L1,46.255,-11.765,270.0,top
M1,18.985,9.09,90.0,top
Q2,29.845,10.016,0.0,top
R1,56.515,12.065,270.0,top
R10,13.4875,-1.905,0.0,top
R11,13.4875,-0.975,0.0,top
R12,22.225,2.54,180.0,top
R2,54.61,12.065,270.0,top
R3,8.69,-2.54,270.0,top
R4,8.69,2.54,90.0,top
R5,31.115,6.35,270.0,top
R6,29.21,6.35,90.0,top
R7,67.564,12.7,270.0,top
R8,27.051,-2.245,180.0,top
R9,6.35,-13.055,0.0,top
SW1,52.705,0.0,0.0,top
SW2,40.64,0.0,0.0,top
SW3,63.5,-12.31,180.0,bottom
SW4,6.6,-8.055,270.0,top
SW5,2.54,-8.055,270.0,top
U1,19.05,-3.175,90.0,top
U2,11.43,-9.525,0.0,top
U3,39.905,-12.265,180.0,top
U4,7.185,10.46,270.0,top
U5,64.385,12.3465,180.0,top
U6,71.0,12.7,270.0,top
Y1,27.051,-6.35,0.0,top
